incident_id,camera_id,timestamp,track_id,status,threat_score,threat_level,person_name,face_recognized,face_confidence,rule7_identity_status,smart_alert_confirmed,zone_name,explainable_reason,evidence_count,evidence_id,evidence_path,phash,std_global,has_red_bbox,has_skin,skin_ratio,image_classification_hint,final_classification,notes
INC-HUMA-F8189BA0,BORDER-CAM-07,2026-09-02 08:31:52.887837,TRK#146,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#146 (person) passed 5/5 validation checks. C,1,01dbba90-fcf5-490a-ae46-d1a95b93b1d0,E:\IBVAP\backend\storage\evidence\webcam_evidence_46b1c7e1.jpg,57f727bf52011a21,67.82,True,True,0.0744,GENUINE,GENUINE,
INC-HUMA-B8E51806,BORDER-CAM-07,2026-09-02 08:32:21.472816,TRK#197,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#197 (person) passed 5/5 validation checks. C,1,d610e983-ab0d-42bd-a490-9b9ce2d43c95,E:\IBVAP\backend\storage\evidence\webcam_evidence_80bca014.jpg,bffdfd4d058080c0,79.66,True,True,0.0663,GENUINE,GENUINE,
INC-HUMA-D12631EA,BORDER-CAM-07,2026-09-02 11:27:47.367837,TRK#5,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#5 (person) passed all validation gates. Conf,1,03f70f88-71ae-47fb-a18e-89d09a70a01d,E:\IBVAP\backend\storage\evidence\webcam_evidence_7cb87014.jpg,fff2f2f0f0e0fc1a,82.74,False,True,0.0342,GENUINE,GENUINE,
INC-HUMA-C4CA8D5F,BORDER-CAM-07,2026-09-02 11:27:51.319848,TRK#3,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#3 (person) passed all validation gates. Conf,1,806b5a05-7c78-4be2-b42c-e742a1902e2a,E:\IBVAP\backend\storage\evidence\webcam_evidence_4a0c533b.jpg,fffcf6f6f4e4d800,93.03,False,True,0.0573,GENUINE,GENUINE,
INC-HUMA-C04D3E48,BORDER-CAM-07,2026-09-02 11:27:57.102568,TRK#20,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#20 (person) passed all validation gates. Con,1,891ba11f-c26b-4121-b788-48ba7beb49b6,E:\IBVAP\backend\storage\evidence\webcam_evidence_435d1cde.jpg,7f7b3b7b7a32380c,87.59,False,True,0.0634,GENUINE,GENUINE,
INC-HUMA-A9B4670E,BORDER-CAM-07,2026-09-02 11:28:05.960219,TRK#28,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#28 (person) passed all validation gates. Con,1,c0104d66-0f4d-4829-9a3c-1b780027b902,E:\IBVAP\backend\storage\evidence\webcam_evidence_2188779a.jpg,fb333b333713100d,95.01,False,True,0.0439,GENUINE,GENUINE,
INC-HUMA-551EF1CA,BORDER-CAM-07,2026-09-02 11:29:45.400888,TRK#73,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#73 (person) passed all validation gates. Con,1,efc42a21-fd25-49a5-9073-e9afe0239b44,E:\IBVAP\backend\storage\evidence\webcam_evidence_eb1cb048.jpg,ecfdccdc5c880003,99.71,True,True,0.0349,GENUINE,GENUINE,
INC-HUMA-03959DE3,BORDER-CAM-07,2026-09-02 11:29:46.073679,TRK#28,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#28 (person) passed all validation gates. Con,1,22a58c79-5a26-47b3-94f7-07d8da89e15c,E:\IBVAP\backend\storage\evidence\webcam_evidence_4603f4e9.jpg,f77f67671f260002,105.04,True,True,0.0351,GENUINE,GENUINE,
INC-HUMA-D38C31E4,BORDER-CAM-07,2026-09-02 11:29:50.523103,TRK#84,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#84 (person) passed all validation gates. Con,1,7c0ab0d2-dcec-47b0-b6f6-0485f80ff84d,E:\IBVAP\backend\storage\evidence\webcam_evidence_98d7beb4.jpg,fe5ee62627070200,99.92,True,True,0.0687,GENUINE,GENUINE,
INC-HUMA-DB3683F9,BORDER-CAM-07,2026-09-02 11:30:04.290528,TRK#86,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#86 (person) passed all validation gates. Con,1,78a816a3-c58e-48b3-b1d7-a683aead7ea0,E:\IBVAP\backend\storage\evidence\webcam_evidence_e9c88db8.jpg,f3f7f3f3f3617104,83.97,True,True,0.0413,GENUINE,GENUINE,
INC-HUMA-59C61A16,BORDER-CAM-07,2026-09-02 11:34:17.886720,TRK#73,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#73 (person) passed all validation gates. Con,1,c2b23f55-d730-4ae6-ae1c-612140a5c3ca,E:\IBVAP\backend\storage\evidence\webcam_evidence_655b227f.jpg,def3b737b2120204,92.96,False,True,0.021,GENUINE,GENUINE,
INC-HUMA-3158F5DC,BORDER-CAM-07,2026-09-02 11:34:23.838697,TRK#103,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#103 (person) passed all validation gates. Co,1,dc7166f3-7059-4d45-9195-b83fb6e525c4,E:\IBVAP\backend\storage\evidence\webcam_evidence_b2a52f0e.jpg,fe66666656260c18,91.77,True,True,0.0648,GENUINE,GENUINE,
INC-HUMA-6B267912,BORDER-CAM-07,2026-09-02 13:35:07.122157,TRK#1,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-9B94C8AC,BORDER-CAM-07,2026-09-02 13:38:17.723990,TRK#1,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-F48FE772,BORDER-CAM-07,2026-09-02 13:51:50.267851,TRK#1,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-60AD6A84,BORDER-CAM-07,2026-09-02 14:10:53.924371,TRK#1,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-200C8ED8,BORDER-CAM-07,2026-09-02 14:15:19.498592,TRK#2,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#2 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-E8B7E40F,BORDER-CAM-07,2026-09-02 14:25:47.228434,TRK#1,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-2B924DC7,BORDER-CAM-07,2026-09-02 14:56:10.822409,TRK#1,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-528F393E,BORDER-CAM-07,2026-09-02 15:08:01.512158,TRK#1,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-AAF7AEEA,BORDER-CAM-07,2026-09-02 15:09:38.092093,TRK#1052,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1052 (person) passed all validation gates. C,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-CD04C0DC,BORDER-CAM-07,2026-09-02 15:16:05.395733,TRK#1279,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1279 (person) passed all validation gates. C,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-EC12378B,BORDER-CAM-07,2026-09-02 15:17:31.427819,TRK#1,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-6849E641,BORDER-CAM-07,2026-09-02 15:33:45.743211,TRK#2,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#2 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-4A092DD1,BORDER-CAM-07,2026-09-02 15:34:46.312245,TRK#2,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#2 (person) passed all validation gates. Conf,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-452D97D6,BORDER-CAM-07,2026-09-02 15:38:14.953825,TRK#121,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#121 (person) passed all validation gates. Co,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-03A30C07,BORDER-CAM-07,2026-09-02 15:39:49.244377,TRK#121,active,85,critical,UNKNOWN,0,0.0,PASSED,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#121 (person) passed all validation gates. Co,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
